id,name,age,salary
109,user_109,44,95479.0
110,user_110,31,75993.0
111,user_111,34,60409.0
112,user_112,56,35386.0
113,user_113,29,57462.0
114,user_114,35,27793.0
115,user_115,29,31043.0
116,user_116,57,91702.0
117,user_117,29,52911.0
118,user_118,34,30813.0
119,user_119,29,94183.0
120,user_120,29,76301.0
121,user_121,24,75422.0
122,user_122,32,50937.0
123,user_123,19,55835.0
124,user_124,50,60278.0
125,user_125,60,89805.0
126,user_126,26,96063.0
127,user_127,55,71803.0
128,user_128,24,48903.0
129,user_129,44,36605.0
130,user_130,35,68290.0
131,user_131,19,54563.0
132,user_132,57,67260.0
133,user_133,19,95664.0
134,user_134,52,84097.0
135,user_135,22,38299.0
136,user_136,31,44982.0
137,user_137,34,30851.0
138,user_138,51,78496.0
139,user_139,33,92098.0
140,user_140,55,87692.0
141,user_141,18,90209.0
142,user_142,26,48075.0
143,user_143,40,73742.0
144,user_144,31,90681.0
145,user_145,33,34961.0
146,user_146,55,45129.0
147,user_147,60,71647.0
148,user_148,31,22579.0
149,user_149,48,45146.0
150,user_150,59,34489.0
151,user_151,52,73677.0
152,user_152,53,58888.0
153,user_153,27,94309.0
154,user_154,33,54271.0
155,user_155,18,58140.0
156,user_156,39,25608.0
157,user_157,53,82731.0
158,user_158,25,41689.0
159,user_159,24,82953.0
160,user_160,20,26788.0
161,user_161,27,63670.0
162,user_162,53,90818.0
163,user_163,37,38631.0
164,user_164,55,72562.0
165,user_165,46,62951.0
166,user_166,42,81794.0
167,user_167,26,28474.0
168,user_168,39,62020.0
169,user_169,33,84240.0
170,user_170,42,42670.0
171,user_171,54,49396.0
172,user_172,41,49794.0
173,user_173,28,86233.0
174,user_174,50,66500.0
175,user_175,59,49547.0
176,user_176,50,77367.0
177,user_177,27,64983.0
178,user_178,21,23406.0
179,user_179,38,68834.0
180,user_180,37,28178.0
181,user_181,49,29620.0
182,user_182,26,79844.0
183,user_183,42,80665.0
184,user_184,25,50167.0
185,user_185,55,41062.0
186,user_186,54,80095.0
187,user_187,20,80985.0
188,user_188,22,86433.0
189,user_189,53,56482.0
190,user_190,47,50329.0
191,user_191,25,71880.0
192,user_192,36,54885.0
193,user_193,30,31226.0
194,user_194,48,89498.0
195,user_195,57,37267.0
196,user_196,18,67263.0
197,user_197,45,60690.0
198,user_198,50,93855.0
199,user_199,34,92651.0
200,user_200,33,76176.0
201,user_201,34,91708.0
202,user_202,36,36348.0
203,user_203,59,60572.0
204,user_204,48,58550.0
205,user_205,42,31551.0
206,user_206,36,67434.0
207,user_207,56,86940.0
208,user_208,47,95801.0
209,user_209,45,24662.0
210,user_210,36,97891.0
211,user_211,31,36147.0
212,user_212,32,42952.0
213,user_213,40,93903.0
214,user_214,34,64687.0
215,user_215,50,92277.0
216,user_216,33,95950.0
217,user_217,23,45266.0
218,user_218,25,66243.0
219,user_219,55,50371.0
220,user_220,35,88576.0
221,user_221,20,80120.0
222,user_222,33,60543.0
223,user_223,35,51406.0
224,user_224,47,81975.0
225,user_225,21,78006.0
226,user_226,25,53910.0
227,user_227,47,75408.0
228,user_228,55,89820.0
229,user_229,28,20322.0
230,user_230,34,31836.0
231,user_231,59,47867.0
232,user_232,37,60783.0
233,user_233,37,41544.0
234,user_234,36,30418.0
235,user_235,38,29945.0
236,user_236,36,73373.0
237,user_237,56,23940.0
238,user_238,19,66663.0
239,user_239,43,42553.0
240,user_240,57,72214.0
241,user_241,57,64511.0
242,user_242,48,91620.0
243,user_243,36,87132.0
244,user_244,32,47395.0
245,user_245,37,70503.0
246,user_246,26,65558.0
247,user_247,42,94954.0
248,user_248,18,87365.0
249,user_249,22,76028.0
250,user_250,31,88087.0
251,user_251,58,69954.0
252,user_252,38,35551.0
253,user_253,36,50112.0
254,user_254,48,35385.0
255,user_255,26,61097.0
256,user_256,50,55410.0
257,user_257,25,67966.0
258,user_258,32,81110.0
259,user_259,19,25707.0
260,user_260,49,89557.0
261,user_261,55,30436.0
262,user_262,31,87062.0
263,user_263,25,60776.0
264,user_264,19,36760.0
265,user_265,56,32277.0
266,user_266,22,71197.0
267,user_267,60,31148.0
268,user_268,60,36214.0
269,user_269,31,27369.0
270,user_270,59,42342.0
271,user_271,53,78205.0
272,user_272,48,67845.0
273,user_273,46,57089.0
274,user_274,34,44507.0
275,user_275,21,61313.0
276,user_276,30,62207.0
277,user_277,53,61094.0
278,user_278,33,70376.0
279,user_279,56,54616.0
280,user_280,58,75861.0
281,user_281,58,23151.0
282,user_282,22,92540.0
283,user_283,34,61059.0
284,user_284,36,41157.0
285,user_285,46,92462.0
286,user_286,23,27236.0
287,user_287,40,86182.0
288,user_288,29,57913.0
289,user_289,56,91875.0
290,user_290,53,77728.0
291,user_291,24,59814.0
292,user_292,60,66444.0
293,user_293,42,29085.0
294,user_294,23,31677.0
295,user_295,21,57699.0
296,user_296,18,82528.0
297,user_297,25,25586.0
298,user_298,33,49638.0
299,user_299,38,56103.0
300,user_300,32,82668.0
301,user_301,23,69413.0
302,user_302,49,98818.0
303,user_303,22,90917.0
304,user_304,47,40418.0
305,user_305,57,44929.0
306,user_306,37,90102.0
307,user_307,31,37557.0
308,user_308,45,54783.0
309,user_309,22,85075.0
310,user_310,59,33568.0
311,user_311,29,58278.0
312,user_312,40,32906.0
313,user_313,38,22815.0
314,user_314,56,89383.0
315,user_315,19,50491.0
316,user_316,18,24992.0
317,user_317,41,44225.0
318,user_318,29,43667.0
319,user_319,33,49193.0
320,user_320,40,79987.0
321,user_321,46,31984.0
322,user_322,53,65813.0
323,user_323,48,53028.0
324,user_324,60,51813.0
325,user_325,48,72006.0
326,user_326,30,31245.0
327,user_327,35,58451.0
328,user_328,44,66533.0
329,user_329,29,63151.0
330,user_330,60,90553.0
331,user_331,26,34985.0
332,user_332,41,56845.0
333,user_333,51,92632.0
334,user_334,26,64303.0
335,user_335,58,39678.0
336,user_336,52,78534.0
337,user_337,40,35788.0
338,user_338,25,83581.0
339,user_339,42,32798.0
340,user_340,33,75554.0
341,user_341,18,32921.0
342,user_342,30,22998.0
343,user_343,53,48788.0
344,user_344,50,82694.0
345,user_345,41,55665.0
346,user_346,54,84461.0
347,user_347,39,47224.0
348,user_348,53,97626.0
349,user_349,28,29855.0
350,user_350,39,48030.0
351,user_351,29,33972.0
352,user_352,39,93223.0
353,user_353,28,79189.0
354,user_354,54,99481.0
355,user_355,54,94838.0
356,user_356,36,54411.0
357,user_357,36,89833.0
358,user_358,51,43751.0
359,user_359,24,69338.0
360,user_360,43,37941.0
361,user_361,48,86530.0
362,user_362,34,54872.0
363,user_363,23,70820.0
364,user_364,24,62824.0
365,user_365,50,52920.0
366,user_366,29,30419.0
367,user_367,42,20461.0
368,user_368,37,39989.0
369,user_369,20,77725.0
370,user_370,25,94052.0
371,user_371,53,52106.0
372,user_372,49,32001.0
373,user_373,30,28700.0
374,user_374,18,47559.0
375,user_375,34,87618.0
376,user_376,39,65858.0
377,user_377,38,93696.0
378,user_378,45,89918.0
379,user_379,24,93785.0
380,user_380,23,66330.0
381,user_381,41,67216.0
382,user_382,21,55010.0
383,user_383,26,24697.0
384,user_384,32,57020.0
385,user_385,44,98558.0
386,user_386,45,62978.0
387,user_387,19,63763.0
388,user_388,40,30954.0
389,user_389,45,85680.0
390,user_390,54,67769.0
391,user_391,53,49613.0
392,user_392,22,26713.0
393,user_393,33,59948.0
394,user_394,23,80437.0
395,user_395,45,32503.0
396,user_396,31,59158.0
397,user_397,31,89924.0
398,user_398,18,25632.0
399,user_399,42,70642.0
400,user_400,45,98016.0
401,user_401,36,98730.0
402,user_402,29,68176.0
403,user_403,52,48612.0
404,user_404,56,36324.0
405,user_405,36,26457.0
406,user_406,22,89484.0
407,user_407,22,41882.0
408,user_408,42,57320.0
409,user_409,38,76086.0
410,user_410,31,62232.0
411,user_411,36,89105.0
412,user_412,34,66580.0
413,user_413,29,33045.0
414,user_414,59,38882.0
415,user_415,30,59862.0
416,user_416,18,78143.0
417,user_417,52,77291.0
418,user_418,44,94420.0
419,user_419,25,92228.0
420,user_420,24,80330.0
421,user_421,34,45588.0
422,user_422,35,37037.0
423,user_423,49,74383.0
424,user_424,32,34204.0
425,user_425,47,89549.0
426,user_426,43,92602.0
427,user_427,30,88025.0
428,user_428,52,96080.0
429,user_429,43,27063.0
430,user_430,56,36304.0
431,user_431,57,83092.0
432,user_432,29,85535.0
433,user_433,30,75153.0
434,user_434,32,72624.0
435,user_435,24,88956.0
436,user_436,53,28848.0
437,user_437,36,94361.0
438,user_438,53,46637.0
439,user_439,51,74822.0
440,user_440,32,56535.0
441,user_441,38,61545.0
442,user_442,27,70433.0
443,user_443,29,59004.0
444,user_444,56,59520.0
445,user_445,56,84894.0
446,user_446,50,84362.0
447,user_447,51,37079.0
448,user_448,49,70021.0
449,user_449,27,21715.0
450,user_450,45,29589.0
451,user_451,50,39258.0
452,user_452,36,93863.0
453,user_453,35,33661.0
454,user_454,56,36409.0
455,user_455,22,24838.0
456,user_456,40,73876.0
457,user_457,51,90522.0
458,user_458,25,26178.0
459,user_459,31,28287.0
460,user_460,48,32157.0
461,user_461,47,26929.0
462,user_462,51,67001.0
463,user_463,42,29446.0
464,user_464,35,75808.0
465,user_465,18,28519.0
466,user_466,60,90335.0
467,user_467,35,90895.0
468,user_468,55,93708.0
469,user_469,24,61990.0
470,user_470,51,85521.0
471,user_471,38,89196.0
472,user_472,53,96354.0
473,user_473,53,39684.0
474,user_474,34,95397.0
475,user_475,33,94074.0
476,user_476,49,75752.0
477,user_477,51,72369.0
478,user_478,43,46850.0
479,user_479,19,63176.0
480,user_480,49,72332.0
481,user_481,29,53097.0
482,user_482,42,36549.0
483,user_483,38,41862.0
484,user_484,24,40841.0
485,user_485,32,69019.0
486,user_486,32,32763.0
487,user_487,59,84572.0
488,user_488,21,92998.0
489,user_489,45,99336.0
490,user_490,22,69248.0
491,user_491,19,38695.0
492,user_492,51,50022.0
493,user_493,29,55154.0
494,user_494,34,82616.0
495,user_495,58,71063.0
496,user_496,26,77125.0
497,user_497,49,28203.0
498,user_498,47,74799.0
499,user_499,44,84156.0
500,user_500,47,93655.0
